Name	1: Id:1 Vel_NC (kp:50 Tn:5)
Record-Number	1
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	50
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
38.0859375	-44.557534922109895	-76.298733911239069	-7.616711522798342	-102.96366651285635	-7.557404852184054	-78.869248448349936
39.0625	-44.67612535358397	-77.295724539815	-7.9579451339386509	-104.64413547799981	-7.7705112610540485	-81.347796255821422
41.015625	-44.79017192075402	-79.048140037944	-8.4793587529018737	-107.87055732965798	-8.0731754056613685	-85.801693541041189
41.9921875	-44.814895590951217	-80.1261374857946	-8.7280957835855659	-109.6768088187381	-8.20971519353985	-88.212714498958235
42.96875	-44.878948866490013	-80.890620173790765	-8.992599884197837	-110.8637370908705	-8.4035412747228975	-90.063208164268758
44.921875	-44.868337733720693	-82.672485997605477	-9.4011660866725162	-113.77853892531344	-8.6520972353439234	-94.0257383286471
45.8984375	-44.884366469081257	-83.488554175587851	-9.6217830416553927	-114.92715710029024	-8.8161077302422761	-95.740588567744084
47.8515625	-44.9009010132217	-85.425863625499	-10.071265823458225	-117.31066103868736	-9.1591364748914188	-99.27917539226226
48.828125	-44.82353423491007	-86.297306489820855	-10.205537516812743	-118.60372822884467	-9.23465092459131	-100.95344851261065
50.78125	-44.805685724298968	-88.430175390204155	-10.625905227687575	-120.76277644129785	-9.5777970410718023	-104.18798413841999
51.7578125	-44.719325341077507	-89.503462157536987	-10.764634806640764	-121.99948977674819	-9.66858232284552	-105.82233871331184
53.7109375	-44.650122743914309	-92.055834028314592	-11.148996543844481	-124.19241159327704	-9.9877103500343143	-109.00722112062617
55.6640625	-44.557501283359557	-94.499371856239165	-11.482667419479336	-126.07125616988033	-10.274370064809695	-111.73249564982947
56.640625	-44.485160280335229	-95.626077691588875	-11.614043183478408	-126.91590467550583	-10.384876954189169	-112.91889112760056
58.59375	-44.360558605591081	-98.322496662055485	-11.903382799080191	-128.68211123447625	-10.63669211166413	-115.41990246447983
60.546875	-44.092300047477373	-101.39305215603559	-12.085812990181278	-130.84388448199513	-10.757755145722754	-118.17954103662703
62.5	-43.820107341265718	-105.09493155447144	-12.272524616669589	-133.15684307489465	-10.883368992581408	-121.1296542754588
64.453125	-43.63378874480896	-109.28425898858329	-12.502531606905123	-135.33187309926845	-11.069819867263675	-123.99683244504163
66.40625	-43.434666740671332	-114.15109415073694	-12.707741728247386	-137.74822954347883	-11.225504884047874	-127.1075893929393
68.359375	-43.306026580505943	-119.48407771249521	-12.920979868037698	-140.14657765457738	-11.397758227411071	-130.21191678848336
70.3125	-43.294613452429282	-125.13562203272032	-13.157247216861389	-142.45853848669546	-11.606265826624378	-133.24258982318088
72.265625	-43.366741169470373	-130.96144182974311	-13.387490737975918	-144.75155451488402	-11.814462650409617	-136.23491300332176
